windspeed,date
1.627607786,2021-08-01 00:00:00
1.342226688,2021-08-01 01:00:00
1.394530978,2021-08-01 02:00:00
1.555236613,2021-08-01 03:00:00
1.271228348,2021-08-01 04:00:00
1.84681412,2021-08-01 05:00:00
1.403262182,2021-08-01 06:00:00
1.323295429,2021-08-01 07:00:00
1.922350993,2021-08-01 08:00:00
2.779734165,2021-08-01 09:00:00
3.211713452,2021-08-01 10:00:00
3.109772444,2021-08-01 11:00:00
3.027968877,2021-08-01 12:00:00
3.174719825,2021-08-01 13:00:00
3.30691818,2021-08-01 14:00:00
3.352266349,2021-08-01 15:00:00
2.855596495,2021-08-01 16:00:00
1.89875716,2021-08-01 17:00:00
1.752541418,2021-08-01 18:00:00
1.957451159,2021-08-01 19:00:00
2.037091393,2021-08-01 20:00:00
2.111851292,2021-08-01 21:00:00
2.484959289,2021-08-01 22:00:00
2.506377867,2021-08-01 23:00:00
2.046535216,2021-08-02 00:00:00
1.410056012,2021-08-02 01:00:00
1.627902589,2021-08-02 02:00:00
2.225247353,2021-08-02 03:00:00
2.687514551,2021-08-02 04:00:00
2.542993907,2021-08-02 05:00:00
2.84978581,2021-08-02 06:00:00
2.838217842,2021-08-02 07:00:00
3.21102235,2021-08-02 08:00:00
3.240774883,2021-08-02 09:00:00
3.287279839,2021-08-02 10:00:00
3.142165709,2021-08-02 11:00:00
2.920608593,2021-08-02 12:00:00
2.715669718,2021-08-02 13:00:00
2.665263115,2021-08-02 14:00:00
2.841517105,2021-08-02 15:00:00
2.606299539,2021-08-02 16:00:00
1.334945436,2021-08-02 17:00:00
2.672284025,2021-08-02 18:00:00
3.262944525,2021-08-02 19:00:00
3.355429654,2021-08-02 20:00:00
3.242893573,2021-08-02 21:00:00
2.873767403,2021-08-02 22:00:00
2.668447612,2021-08-02 23:00:00
2.718358455,2021-08-03 00:00:00
2.672815634,2021-08-03 01:00:00
2.685675439,2021-08-03 02:00:00
2.866366733,2021-08-03 03:00:00
3.061539856,2021-08-03 04:00:00
2.931291544,2021-08-03 05:00:00
3.532120258,2021-08-03 06:00:00
4.543236716,2021-08-03 07:00:00
4.631847212,2021-08-03 08:00:00
4.576216303,2021-08-03 09:00:00
4.759010544,2021-08-03 10:00:00
4.553955337,2021-08-03 11:00:00
4.574256707,2021-08-03 12:00:00
4.931336702,2021-08-03 13:00:00
4.316902048,2021-08-03 14:00:00
3.793608616,2021-08-03 15:00:00
4.116842136,2021-08-03 16:00:00
3.444055692,2021-08-03 17:00:00
3.283919316,2021-08-03 18:00:00
3.34348562,2021-08-03 19:00:00
3.255537355,2021-08-03 20:00:00
3.382305498,2021-08-03 21:00:00
3.051971327,2021-08-03 22:00:00
16.98294105921548,2021-08-03 23:00:00
